"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"11941","Sc_g11439: probable serine/threonine-protein kinase DDB_G0272254","Sc_g11439"," intracellular, plasma membrane, membrane, integral component of membrane","phosphorelay sensor kinase activity, nucleotide binding, protein kinase activity, protein serine/threonine kinase activity, protein serine/threonine/tyrosine kinase activity, ATP binding, photoreceptor activity, kinase activity, transferase activity"," phosphorelay signal transduction system, regulation of transcription, DNA-templated, protein phosphorylation, detection of visible light, phosphorylation, protein-chromophore linkage, signal transduction by protein phosphorylation, response to stimulus",282
"11942","Sc_g11440: linoleate 9S-lipoxygenase-like","Sc_g11440","","protein binding, oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, metal ion binding"," oxidation-reduction process",3048
"11943","Sc_g11441: 60S ribosomal protein L12-3-like","Sc_g11441"," cytosolic large ribosomal subunit"," structural constituent of ribosome, rRNA binding","ribosomal large subunit assembly, translation",632
"11944","Sc_g11442: serine/threonine-protein kinase 16","Sc_g11442"," cytosol","protein kinase activity, ATP binding"," protein phosphorylation",1349
"11945","Sc_g11443: RNA methyltransferase","Sc_g11443"," membrane, integral component of membrane","methyltransferase activity, transferase activity"," methylation",2862
"11946","Sc_g11444: probable indole-3-acetic acid-amido synthetase GH3.1","Sc_g11444","","","",2305
"11947","Sc_g11445: 60S ribosomal protein L19-3-like","Sc_g11445"," cytosolic large ribosomal subunit","RNA binding, structural constituent of ribosome"," translation",800
"11948","Sc_g11446: ---NA---","Sc_g11446","","","",54
"11949","Sc_g11447: triacylglycerol lipase 1-like","Sc_g11447","","","lipid metabolic process",1500
"11950","Sc_g11448: calponin homology domain-containing protein DDB_G0272472-like","Sc_g11448"," Ino80 complex","","chromatin remodeling",2049
"11951","Sc_g11449: protein CWC15 homolog A","Sc_g11449"," catalytic step 2 spliceosome","RNA binding"," mRNA cis splicing, via spliceosome",1020
"11952","Sc_g11449: protein CWC15 homolog A","Sc_g11449"," catalytic step 2 spliceosome","RNA binding"," mRNA cis splicing, via spliceosome",1077
"11953","Sc_g11450: probable cellulose synthase A catalytic subunit 5 [UDP-forming]","Sc_g11450","trans-Golgi network, plasma membrane, integral component of membrane"," cellulose synthase (UDP-forming) activity, metal ion binding"," plant-type primary cell wall biogenesis, cellulose biosynthetic process, cell wall organization",3249
"11954","Sc_g11451: gibberellin 3-beta-dioxygenase 1-like","Sc_g11451","","oxidoreductase activity"," oxidation-reduction process",1005
"11955","Sc_g11452: uncharacterized protein LOC112286343","Sc_g11452","chloroplast thylakoid membrane, chloroplast inner membrane, integral component of membrane","","",471
"11956","Sc_g11453: membrane fusion protein Use1","Sc_g11453","membrane","","",690
"11957","Sc_g11454: 30S ribosomal protein S31, chloroplastic","Sc_g11454","ribosome, chloroplast",""," plastid translation",315
"11958","Sc_g11455: probable ubiquitin-like-specific protease 2B isoform X1","Sc_g11455",""," cysteine-type peptidase activity","proteolysis",2034
"11959","Sc_g11456: IMP-specific 5'-nucleotidase 1-like","Sc_g11456","","magnesium ion binding, IMP 5'-nucleotidase activity"," inosine salvage, nucleotide metabolic process, dephosphorylation",1212
"11960","Sc_g11457: glycosyltransferase 8 domain-containing protein 2-like isoform X2","Sc_g11457","","transferase activity, transferring glycosyl groups","",1422
"11961","Sc_g11458: protein NRT1/ PTR FAMILY 8.1","Sc_g11458","plasma membrane, plasmodesma, integral component of membrane"," tripeptide transmembrane transporter activity"," nitrogen compound metabolic process, dipeptide transport, tripeptide transport, transmembrane transport",2208
"11962","Sc_g11459: diacylglycerol O-acyltransferase 2","Sc_g11459","integral component of membrane"," transferase activity, transferring acyl groups other than amino-acyl groups","",1471
"11963","Sc_g11460: F-box/WD-40 repeat-containing protein At3g52030","Sc_g11460","","protein binding","",1407
"11964","Sc_g11461: Hydrocephalus-inducing protein","Sc_g11461","","","",3267
"11965","Sc_g11462: Hydrocephalus-inducing protein","Sc_g11462","","serine-type endopeptidase activity, chitin binding, peptidase activity, serine-type peptidase activity, hydrolase activity"," proteolysis",7667
"11966","Sc_g11463: ---NA---","Sc_g11463","","","",48
"11967","Sc_g11464: probable serine/threonine-protein kinase PBL1","Sc_g11464","","protein kinase activity, ATP binding"," protein phosphorylation",1401
"11968","Sc_g11465: LON peptidase N-terminal domain and RING finger protein 3-like","Sc_g11465","","metal ion binding","",1633
"11969","Sc_g11466: uncharacterized protein LOC112294734 isoform X1","Sc_g11466","","protein kinase activity, ATP binding"," protein phosphorylation",309
"11970","Sc_g11467: hypothetical protein PHYPA_023517","Sc_g11467","","protein kinase activity, ATP binding"," protein phosphorylation",531
"11971","Sc_g11468: ---NA---","Sc_g11468","","","",297
"11972","Sc_g11469: zinc finger CCCH domain-containing protein 16-like","Sc_g11469","","metal ion binding","",1182
"11973","Sc_g11470: magnesium transporter MRS2 homolog, mitochondrial-like isoform X1","Sc_g11470"," integral component of membrane","","transport",1575
"11974","Sc_g11471: ribosomal RNA processing protein 1 homolog","Sc_g11471"," preribosome, small subunit precursor","","rRNA processing",1413
"11975","Sc_g11472: monodehydroascorbate reductase, seedling isozyme-like","Sc_g11472","","oxidoreductase activity, flavin adenine dinucleotide binding"," oxidation-reduction process",2028
"11976","Sc_g11473: protein CNGC15b-like","Sc_g11473"," integral component of membrane","ion channel activity, protein binding"," ion transmembrane transport",2998
"11977","Sc_g11474: diacylglycerol O-acyltransferase 1","Sc_g11474"," endoplasmic reticulum membrane, chloroplast envelope","diacylglycerol O-acyltransferase activity"," carbohydrate metabolic process, response to stress, response to abiotic stimulus, regulation of seed germination, response to organic substance, triglyceride biosynthetic process, response to oxygen-containing compound",1635
"11978","Sc_g11475: hypothetical protein PHYPA_029526","Sc_g11475","","","",534
"11979","Sc_g11476: protein MOR1 isoform X1","Sc_g11476"," microtubule cytoskeleton, cytoskeletal part, cytoplasmic part","","intracellular protein transport",5772
"11980","Sc_g11477: probable 2-carboxy-D-arabinitol-1-phosphatase","Sc_g11477","cytoplasm","","",1556
"11981","Sc_g11478: Transposon TX1 putative 149 kDa protein","Sc_g11478","","transferase activity","",405
"11982","Sc_g11479: hypothetical protein PHYPA_000294","Sc_g11479","","","",1124
"11983","Sc_g11480: hypothetical protein PHYPA_021388","Sc_g11480","","","",720
"11984","Sc_g11481: growth-regulating factor 6-like isoform X1","Sc_g11481"," nucleus","ATP binding"," regulation of transcription, DNA-templated, developmental process",2220
"11985","Sc_g11482: glutaredoxin","Sc_g11482"," cell","glutathione-disulfide reductase activity, electron transfer activity, protein disulfide oxidoreductase activity"," electron transport chain, cellular response to oxidative stress, cell redox homeostasis, cellular oxidant detoxification",330
"11986","Sc_g11483: uncharacterized protein LOC112287655","Sc_g11483","","","",696
"11987","Sc_g11484: chaperone protein DnaJ","Sc_g11484","","","",1051
"11988","Sc_g11485: glutathione S-transferase-like protein","Sc_g11485"," cytoplasm","glutathione transferase activity"," glutathione metabolic process",381
"11989","Sc_g11486: glutathione S-transferase F10-like","Sc_g11486"," cytoplasm","glutathione transferase activity"," glutathione metabolic process",366
"11990","Sc_g11487: probable LRR receptor-like serine/threonine-protein kinase At1g06840 isoform X1","Sc_g11487"," integral component of membrane","protein kinase activity, protein binding, ATP binding"," protein phosphorylation",4169
"11991","Sc_g11488: DNA-directed RNA polymerase III subunit RPC8","Sc_g11488"," RNA polymerase III complex","RNA polymerase III activity"," transcription initiation from RNA polymerase III promoter, RNA splicing",906
"11992","Sc_g11489: serine threonine kinase","Sc_g11489","","protein kinase activity, ATP binding"," protein phosphorylation",1527
"11993","Sc_g11490: biotin carboxyl carrier protein of acetyl-CoA carboxylase 1, chloroplastic-like","Sc_g11490"," acetyl-CoA carboxylase complex, chloroplast","acetyl-CoA carboxylase activity"," fatty acid biosynthetic process",1238
"11994","Sc_g11491: ---NA---","Sc_g11491","","","",1629
"11995","Sc_g11492: GEM-like protein 1","Sc_g11492","","","post-embryonic development",1582
"11996","Sc_g11493: uncharacterized protein LOC112283881","Sc_g11493","","","response to oxidative stress",504
"11997","Sc_g11494: signal recognition particle subunit SRP68","Sc_g11494"," signal recognition particle, endoplasmic reticulum targeting, cytosol","signal recognition particle binding, 7S RNA binding, endoplasmic reticulum signal peptide binding"," SRP-dependent cotranslational protein targeting to membrane",2034
"11998","Sc_g11495: apoptotic chromatin condensation inducer in the nucleus-like","Sc_g11495","","nucleic acid binding","",2903
"11999","Sc_g11495: apoptotic chromatin condensation inducer in the nucleus-like","Sc_g11495","","nucleic acid binding","",3166
"12000","Sc_g11496: senescence/dehydration-associated protein At4g35985, chloroplastic-like","Sc_g11496","","","",2317
"12001","Sc_g11497: 26S proteasome non-ATPase regulatory subunit 12 homolog A","Sc_g11497"," nucleus","cyclin-dependent protein serine/threonine kinase inhibitor activity"," cell cycle arrest",765
"12002","Sc_g11498: hypothetical protein PHYPA_016321","Sc_g11498","membrane, integral component of membrane","","",351
"12003","Sc_g11499: probable plastidic glucose transporter 2","Sc_g11499","plastid, integral component of membrane"," transmembrane transporter activity"," transmembrane transport",2477
"12004","Sc_g11500: serine/threonine-protein kinase-like protein CR4","Sc_g11500"," membrane","protein kinase activity, ATP binding"," protein phosphorylation",3430
"12005","Sc_g11501: arsenite transporter","Sc_g11501"," integral component of membrane","inorganic anion transmembrane transporter activity, antiporter activity"," inorganic anion transport, transmembrane transport",1742
"12006","Sc_g11502: probable fucosyltransferase 8","Sc_g11502"," membrane","galactoside 2-alpha-L-fucosyltransferase activity"," cell wall biogenesis",3078
"12007","Sc_g11503: uncharacterized protein LOC112278488","Sc_g11503","membrane","","",987
"12008","Sc_g11504: BTB/POZ domain-containing protein At1g04390 isoform X1","Sc_g11504","","protein binding","",2589
"12009","Sc_g11505: SCY1-like protein 2","Sc_g11505","","protein kinase activity, ATP binding"," protein phosphorylation",3160
"12010","Sc_g11506: ---NA---","Sc_g11506","","","",270
"12011","Sc_g11507: Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase","Sc_g11507","","hydrolase activity","",624
"12012","Sc_g11508: uncharacterized protein LOC112292175 isoform X2","Sc_g11508","","","",2616
"12013","Sc_g11509: katanin p60 ATPase-containing subunit A1","Sc_g11509"," cytoplasm, microtubule","ATP binding, microtubule binding, microtubule-severing ATPase activity"," multidimensional cell growth, plant-type cell wall biogenesis, trichome branching, cortical microtubule organization, microtubule severing",1344
"12014","Sc_g11510: 50S ribosomal protein L33","Sc_g11510"," large ribosomal subunit, integral component of membrane"," structural constituent of ribosome","ribosomal large subunit assembly, translation",464
"12015","Sc_g11511: putative mediator of RNA polymerase II transcription subunit 26 isoform X2","Sc_g11511","","","",1380
"12016","Sc_g11512: UPF0415 protein C7orf25 homolog","Sc_g11512","","","",1719
"12017","Sc_g11513: ATP-dependent DNA helicase RecQ-like","Sc_g11513"," nucleus","nucleic acid binding, ATP binding, ATP-dependent 3'-5' DNA helicase activity"," DNA replication, DNA repair, DNA recombination, DNA duplex unwinding",2367
"12018","Sc_g11514: plant intracellular Ras-group-related LRR protein 9-like","Sc_g11514","","protein binding","",1562
"12019","Sc_g11515: CBL-interacting serine/threonine-protein kinase 24-like isoform X1","Sc_g11515"," nucleus, cytoplasm, integral component of membrane","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation, intracellular signal transduction",1176
"12020","Sc_g11516: coronatine-insensitive protein 1-like","Sc_g11516","","","",1185
"12021","Sc_g11517: probable aldo-keto reductase 1 isoform X2","Sc_g11517","cytosol",""," response to cadmium ion",669
"12022","Sc_g11518: cytochrome b-c1 complex subunit 8-like","Sc_g11518","mitochondrial inner membrane, integral component of membrane, respirasome"," ubiquinol-cytochrome-c reductase activity"," electron transport chain",569
"12023","Sc_g11519: uncharacterized protein LOC112294457 isoform X1","Sc_g11519","","zinc ion binding","",1134
"12024","Sc_g11520: peroxisomal membrane protein PEX14-like","Sc_g11520"," peroxisomal membrane","protein binding"," protein import into peroxisome matrix, docking",1327
"12025","Sc_g11521: denticleless protein homolog","Sc_g11521","","protein binding","",1440
"12026","Sc_g11522: PHD finger protein MALE STERILITY 1","Sc_g11522","","metal ion binding","",2103
